School,Legacy ID,sid
Abilene Christian University,1,U2Nob29sLTE=
Abraham Baldwin Agricultural College,2,U2Nob29sLTI=
Academy of Art University,3,U2Nob29sLTM=
Bryn Athyn College,4,U2Nob29sLTQ=
Adams State University,5,U2Nob29sLTU=
Adelphi University,6,U2Nob29sLTY=
Agnes Scott College,7,U2Nob29sLTc=
Air Force Institute of Technology,8,U2Nob29sLTg=
Air University,9,U2Nob29sLTk=
Alabama A&M University,10,U2Nob29sLTEw
Alabama State University,11,U2Nob29sLTEx
Alaska Pacific University,12,U2Nob29sLTEy
Albany College of Pharmacy and Health Sciences,13,U2Nob29sLTEz
Albany State University,14,U2Nob29sLTE0
College of Idaho,15,U2Nob29sLTE1
Albertus Magnus College,16,U2Nob29sLTE2
Albion College,17,U2Nob29sLTE3
Albright College,18,U2Nob29sLTE4
Alcorn State University,19,U2Nob29sLTE5
Alderson Broaddus University,20,U2Nob29sLTIw
Alfred University,21,U2Nob29sLTIx
Alice Lloyd College,22,U2Nob29sLTIy
Allegheny College,23,U2Nob29sLTIz
Allegheny University of the Health Sciences,24,U2Nob29sLTI0
Allegheny University of the Health Sciences,25,U2Nob29sLTI1
Allentown College of Saint Francis de Sales,26,U2Nob29sLTI2
Alma College,27,U2Nob29sLTI3
Alvernia University,28,U2Nob29sLTI4
Alverno College,29,U2Nob29sLTI5
American Graduate School of International Manageme,30,U2Nob29sLTMw
American International College,31,U2Nob29sLTMx
American University,32,U2Nob29sLTMy
Amherst College,33,U2Nob29sLTMz
Anderson University,34,U2Nob29sLTM0
Anderson University,35,U2Nob29sLTM1
Andrews University,36,U2Nob29sLTM2
Angelo State University,37,U2Nob29sLTM3
Anna Maria College,38,U2Nob29sLTM4
Antioch College,39,U2Nob29sLTM5
Antioch University: Los Angeles,40,U2Nob29sLTQw
Antioch University,41,U2Nob29sLTQx
Antioch University,42,U2Nob29sLTQy
Appalachian State University,43,U2Nob29sLTQz
Aquinas College,44,U2Nob29sLTQ0
Arizona State University,45,U2Nob29sLTQ1
Arkansas State University,48,U2Nob29sLTQ4
Arkansas Tech University,49,U2Nob29sLTQ5
Georgia Southern University - Armstrong,50,U2Nob29sLTUw
Art Academy of Cincinnati,51,U2Nob29sLTUx
Art Center College of Design,52,U2Nob29sLTUy
Art Institute of Seattle,53,U2Nob29sLTUz
Asbury University,54,U2Nob29sLTU0
Asbury Theological Seminary,55,U2Nob29sLTU1
Ashland University,56,U2Nob29sLTU2
Assumption University,57,U2Nob29sLTU3
Athena University,58,U2Nob29sLTU4
Atlantic Union College,59,U2Nob29sLTU5
Auburn University,60,U2Nob29sLTYw
Auburn University at Montgomery,61,U2Nob29sLTYx
Audrey Cohen College,62,U2Nob29sLTYy
Augsburg University,63,U2Nob29sLTYz
Augusta University,64,U2Nob29sLTY0
Augustana University,65,U2Nob29sLTY1
Augustana College,66,U2Nob29sLTY2
Aurora University,67,U2Nob29sLTY3
Austin College,68,U2Nob29sLTY4
Austin Peay State University,69,U2Nob29sLTY5
Averett University,70,U2Nob29sLTcw
Avila University,71,U2Nob29sLTcx
Azusa Pacific University-Azusa,72,U2Nob29sLTcy
Babson College,73,U2Nob29sLTcz
Baker College,74,U2Nob29sLTc0
Baker University,75,U2Nob29sLTc1
Baldwin Wallace University,76,U2Nob29sLTc2
Ball State University,77,U2Nob29sLTc3
Baltimore Hebrew University,78,U2Nob29sLTc4
Bank Street College of Education,79,U2Nob29sLTc5
Barat College,80,U2Nob29sLTgw
Barber-Scotia College,81,U2Nob29sLTgx
Bard College,82,U2Nob29sLTgy
Barnard College,83,U2Nob29sLTgz
Barry University (all),84,U2Nob29sLTg0
Bassist College,85,U2Nob29sLTg1
Bastyr University,86,U2Nob29sLTg2
Bates College,87,U2Nob29sLTg3
Texas A&M College of Dentistry,88,U2Nob29sLTg4
Baylor College of Medicine,89,U2Nob29sLTg5
Baylor University,90,U2Nob29sLTkw
Arcadia University,91,U2Nob29sLTkx
Belhaven College,92,U2Nob29sLTky
Bellarmine University,93,U2Nob29sLTkz
Bellevue University,94,U2Nob29sLTk0
Belmont Abbey College,95,U2Nob29sLTk1
Belmont University,96,U2Nob29sLTk2
Beloit College,97,U2Nob29sLTk3
Bemidji State University,98,U2Nob29sLTk4
Benedict College,99,U2Nob29sLTk5
Benedictine College,100,U2Nob29sLTEwMA==
Bennett College for Women,101,U2Nob29sLTEwMQ==
Bennington College,102,U2Nob29sLTEwMg==
Bentley University,103,U2Nob29sLTEwMw==
Berea College,104,U2Nob29sLTEwNA==
Berklee College of Music,105,U2Nob29sLTEwNQ==
Berry College,106,U2Nob29sLTEwNg==
Bethany University,107,U2Nob29sLTEwNw==
Bethany College,108,U2Nob29sLTEwOA==
Bethel University,109,U2Nob29sLTEwOQ==
Bethel College,110,U2Nob29sLTExMA==
Bethel University,111,U2Nob29sLTExMQ==
Bethune-Cookman University,112,U2Nob29sLTExMg==
Biola University,113,U2Nob29sLTExMw==
Birmingham-Southern College,114,U2Nob29sLTExNA==
Black Hills State University,115,U2Nob29sLTExNQ==
Bloomsburg University,116,U2Nob29sLTExNg==
Bluefield State College,117,U2Nob29sLTExNw==
Bluffton University,118,U2Nob29sLTExOA==
Bob Jones University,119,U2Nob29sLTExOQ==
Boise State University,120,U2Nob29sLTEyMA==
Boston Architectural College,121,U2Nob29sLTEyMQ==
Boston College,122,U2Nob29sLTEyMg==
Boston Graduate School of Psychoanalysis,123,U2Nob29sLTEyMw==
Boston University,124,U2Nob29sLTEyNA==
Bowdoin College,125,U2Nob29sLTEyNQ==
Bowie State University,126,U2Nob29sLTEyNg==
Bowling Green State University,127,U2Nob29sLTEyNw==
Bradley University,128,U2Nob29sLTEyOA==
Brandeis University,129,U2Nob29sLTEyOQ==
Brenau University,130,U2Nob29sLTEzMA==
Brescia University,131,U2Nob29sLTEzMQ==
Briar Cliff University,132,U2Nob29sLTEzMg==
Bridgewater College,133,U2Nob29sLTEzMw==
Bridgewater State University,134,U2Nob29sLTEzNA==
Brigham Young University,135,U2Nob29sLTEzNQ==
Brigham Young University - Hawaii,136,U2Nob29sLTEzNg==
Brown University,137,U2Nob29sLTEzNw==
Bryant University,138,U2Nob29sLTEzOA==
Bryn Mawr College,139,U2Nob29sLTEzOQ==
Bucknell University,140,U2Nob29sLTE0MA==
Buena Vista University,141,U2Nob29sLTE0MQ==
Butler University,142,U2Nob29sLTE0Mg==
Cabrini University,143,U2Nob29sLTE0Mw==
Caldwell University,144,U2Nob29sLTE0NA==
California Baptist University,145,U2Nob29sLTE0NQ==
California Coast University,146,U2Nob29sLTE0Ng==
Independence University -- CCHS,147,U2Nob29sLTE0Nw==
California Institute of Technology,148,U2Nob29sLTE0OA==
California Institute of the Arts,149,U2Nob29sLTE0OQ==
California Lutheran University,150,U2Nob29sLTE1MA==
California Maritime Academy,151,U2Nob29sLTE1MQ==
California Pacific University,152,U2Nob29sLTE1Mg==
California Polytechnic State University,153,U2Nob29sLTE1Mw==
California State University San Marcos,155,U2Nob29sLTE1NQ==
California State University Stanislaus,156,U2Nob29sLTE1Ng==
California State University Los Angeles,157,U2Nob29sLTE1Nw==
California State University Bakersfield (CSUB),158,U2Nob29sLTE1OA==
California State University Chico,159,U2Nob29sLTE1OQ==
California State University Dominguez Hills,160,U2Nob29sLTE2MA==
California State University Fresno,161,U2Nob29sLTE2MQ==
California State University Long Beach,162,U2Nob29sLTE2Mg==
California State University - Northridge,163,U2Nob29sLTE2Mw==
California State University - Sacramento,164,U2Nob29sLTE2NA==
California State University - San Bernardino,165,U2Nob29sLTE2NQ==
California State University Fullerton,166,U2Nob29sLTE2Ng==
California State University -  East Bay,167,U2Nob29sLTE2Nw==
California State University Monterey Bay,168,U2Nob29sLTE2OA==
California University of Pennsylvania,169,U2Nob29sLTE2OQ==
Calumet College of St. Joseph,170,U2Nob29sLTE3MA==
Calvin University,171,U2Nob29sLTE3MQ==
Cameron University,172,U2Nob29sLTE3Mg==
Campbell University,173,U2Nob29sLTE3Mw==
Campbellsville University,174,U2Nob29sLTE3NA==
Canisius College,175,U2Nob29sLTE3NQ==
Capital University,176,U2Nob29sLTE3Ng==
Capitol Technology University,177,U2Nob29sLTE3Nw==
Cardinal Stritch University,178,U2Nob29sLTE3OA==
Carleton College,179,U2Nob29sLTE3OQ==
Carlow University,180,U2Nob29sLTE4MA==
Carnegie Mellon University,181,U2Nob29sLTE4MQ==
Carroll University,182,U2Nob29sLTE4Mg==
Carroll College,183,U2Nob29sLTE4Mw==
Carson-Newman University,184,U2Nob29sLTE4NA==
Carthage College,185,U2Nob29sLTE4NQ==
Case Western Reserve University,186,U2Nob29sLTE4Ng==
Castleton University,187,U2Nob29sLTE4Nw==
Catawba College,188,U2Nob29sLTE4OA==
The Catholic University of America,189,U2Nob29sLTE4OQ==
Cazenovia College,190,U2Nob29sLTE5MA==
Cedar Crest College,191,U2Nob29sLTE5MQ==
Cedarville University,192,U2Nob29sLTE5Mg==
Centenary College of Louisiana,193,U2Nob29sLTE5Mw==
Center for Creative Studies College of Art and Des,194,U2Nob29sLTE5NA==
Central Baptist College,195,U2Nob29sLTE5NQ==
Central Bible College,196,U2Nob29sLTE5Ng==
Central College,197,U2Nob29sLTE5Nw==
Central Connecticut State University,198,U2Nob29sLTE5OA==
Central Methodist University,199,U2Nob29sLTE5OQ==
Central Michigan University,200,U2Nob29sLTIwMA==
University of Central Missouri,201,U2Nob29sLTIwMQ==
Central Washington University,202,U2Nob29sLTIwMg==
Centre College,203,U2Nob29sLTIwMw==
Chadron State College,204,U2Nob29sLTIwNA==
Chaminade University,205,U2Nob29sLTIwNQ==
Champlain College,206,U2Nob29sLTIwNg==
Chapman University,207,U2Nob29sLTIwNw==
Charleston Southern University,208,U2Nob29sLTIwOA==
Charter Oak State College,209,U2Nob29sLTIwOQ==
Chatham University,210,U2Nob29sLTIxMA==
Chesapeake College,211,U2Nob29sLTIxMQ==
Cheyney University,212,U2Nob29sLTIxMg==
The Chicago School of Professional Psychology,213,U2Nob29sLTIxMw==
Chicago State University,214,U2Nob29sLTIxNA==
Chicago-Kent College of Law,215,U2Nob29sLTIxNQ==
Christendom College,216,U2Nob29sLTIxNg==
Christian Brothers University,217,U2Nob29sLTIxNw==
Christian Theological Seminary,218,U2Nob29sLTIxOA==
Christopher Newport University,219,U2Nob29sLTIxOQ==
Cincinnati Christian University,220,U2Nob29sLTIyMA==
The Citadel - The Military College of South Carolina,221,U2Nob29sLTIyMQ==
Baruch College,222,U2Nob29sLTIyMg==
Brooklyn College,223,U2Nob29sLTIyMw==
City College of New York,224,U2Nob29sLTIyNA==
College of Staten Island (CUNY - Staten Island),225,U2Nob29sLTIyNQ==
Hunter College,226,U2Nob29sLTIyNg==
John Jay College of Criminal Justice,227,U2Nob29sLTIyNw==
Lehman College,228,U2Nob29sLTIyOA==
Medgar Evers College,229,U2Nob29sLTIyOQ==
New York City College of Technology,230,U2Nob29sLTIzMA==
CUNY Queens College,231,U2Nob29sLTIzMQ==
Claflin University,232,U2Nob29sLTIzMg==
Claremont Graduate University,233,U2Nob29sLTIzMw==
Claremont McKenna College,234,U2Nob29sLTIzNA==
Pennsylvania Western University - Clarion,235,U2Nob29sLTIzNQ==
Clark Atlanta University,236,U2Nob29sLTIzNg==
Clark University,237,U2Nob29sLTIzNw==
Clarke University,238,U2Nob29sLTIzOA==
Clarkson College,239,U2Nob29sLTIzOQ==
Clarkson University,240,U2Nob29sLTI0MA==
Clayton State University,241,U2Nob29sLTI0MQ==
Clemson University,242,U2Nob29sLTI0Mg==
Cleveland Institute of Music,243,U2Nob29sLTI0Mw==
Cleveland State University,244,U2Nob29sLTI0NA==
Coastal Carolina University,246,U2Nob29sLTI0Ng==
Coe College,247,U2Nob29sLTI0Nw==
Cogswell Polytechnical College,248,U2Nob29sLTI0OA==
Coker University,249,U2Nob29sLTI0OQ==
Colby College,250,U2Nob29sLTI1MA==
Colby-Sawyer College,251,U2Nob29sLTI1MQ==
Colgate University,252,U2Nob29sLTI1Mg==
Misericordia University,253,U2Nob29sLTI1Mw==
College of Charleston,254,U2Nob29sLTI1NA==
Utah State University Eastern,255,U2Nob29sLTI1NQ==
The College of New Jersey,256,U2Nob29sLTI1Ng==
College of New Rochelle,257,U2Nob29sLTI1Nw==
College of Notre Dame,258,U2Nob29sLTI1OA==
Notre Dame of Maryland University,259,U2Nob29sLTI1OQ==
St. Catherine University,261,U2Nob29sLTI2MQ==
University of Saint Francis,262,U2Nob29sLTI2Mg==
College of Saint Rose,263,U2Nob29sLTI2Mw==
The College of Saint Scholastica,264,U2Nob29sLTI2NA==
College of Santa Fe,265,U2Nob29sLTI2NQ==
College of the Atlantic,266,U2Nob29sLTI2Ng==
Holy Cross,267,U2Nob29sLTI2Nw==
College of the Ozarks,268,U2Nob29sLTI2OA==
College of William and Mary,269,U2Nob29sLTI2OQ==
The College of Wooster,271,U2Nob29sLTI3MQ==
Colorado Christian University,272,U2Nob29sLTI3Mg==
Colorado College,273,U2Nob29sLTI3Mw==
Colorado School of Mines,274,U2Nob29sLTI3NA==
Colorado State University,275,U2Nob29sLTI3NQ==
Columbia Pacific University,276,U2Nob29sLTI3Ng==
Washington Adventist University,277,U2Nob29sLTI3Nw==
Columbia University,278,U2Nob29sLTI3OA==
Columbus College of Art and Design,279,U2Nob29sLTI3OQ==
Columbus State University,280,U2Nob29sLTI4MA==
Concord University,281,U2Nob29sLTI4MQ==
Concordia University,282,U2Nob29sLTI4Mg==
Concordia University,283,U2Nob29sLTI4Mw==
Concordia University,284,U2Nob29sLTI4NA==
Concordia College,285,U2Nob29sLTI4NQ==
Concordia University,286,U2Nob29sLTI4Ng==
Concordia College,287,U2Nob29sLTI4Nw==
Concordia University,288,U2Nob29sLTI4OA==
Concordia University,289,U2Nob29sLTI4OQ==
Concordia University Chicago,290,U2Nob29sLTI5MA==
Concordia University Wisconsin,291,U2Nob29sLTI5MQ==
Connecticut College,292,U2Nob29sLTI5Mg==
Converse College,293,U2Nob29sLTI5Mw==
Cooper Union,294,U2Nob29sLTI5NA==
Coppin State University,295,U2Nob29sLTI5NQ==
Corcoran College of Art & Design,296,U2Nob29sLTI5Ng==
Cornell College,297,U2Nob29sLTI5Nw==
Cornell University,298,U2Nob29sLTI5OA==
Cornerstone University,299,U2Nob29sLTI5OQ==
Covenant College,300,U2Nob29sLTMwMA==
Creighton University,301,U2Nob29sLTMwMQ==
Criswell College,302,U2Nob29sLTMwMg==
Crown College,303,U2Nob29sLTMwMw==
Culver-Stockton College,304,U2Nob29sLTMwNA==
University of the Cumberlands,305,U2Nob29sLTMwNQ==
Curry College,306,U2Nob29sLTMwNg==
Earlham College,307,U2Nob29sLTMwNw==
East Carolina University,308,U2Nob29sLTMwOA==
East Central University,309,U2Nob29sLTMwOQ==
East Stroudsburg University,310,U2Nob29sLTMxMA==
East Tennessee State University,311,U2Nob29sLTMxMQ==
East Texas Baptist University,312,U2Nob29sLTMxMg==
Eastern University,314,U2Nob29sLTMxNA==
Eastern Connecticut State University,315,U2Nob29sLTMxNQ==
Eastern Illinois University,316,U2Nob29sLTMxNg==
EKU,317,U2Nob29sLTMxNw==
Eastern Mennonite University,318,U2Nob29sLTMxOA==
Eastern Michigan University,319,U2Nob29sLTMxOQ==
Eastern Nazarene College,320,U2Nob29sLTMyMA==
Eastern New Mexico University,321,U2Nob29sLTMyMQ==
Eastern Oregon University,322,U2Nob29sLTMyMg==
Eastern Washington University,323,U2Nob29sLTMyMw==
Eastman School of Music,324,U2Nob29sLTMyNA==
East-West University,325,U2Nob29sLTMyNQ==
Eckerd College,326,U2Nob29sLTMyNg==
Edgewood College,327,U2Nob29sLTMyNw==
Edinboro University,328,U2Nob29sLTMyOA==
Elizabeth City State University,329,U2Nob29sLTMyOQ==
Elizabethtown College,330,U2Nob29sLTMzMA==
Elmhurst University,331,U2Nob29sLTMzMQ==
Elmira College,332,U2Nob29sLTMzMg==
Elon University,333,U2Nob29sLTMzMw==
Embry-Riddle Aeronautical University,334,U2Nob29sLTMzNA==
Embry-Riddle Aeronautical University,335,U2Nob29sLTMzNQ==
Emerson College,336,U2Nob29sLTMzNg==
Emmanuel College,337,U2Nob29sLTMzNw==
Emmaus Bible College,338,U2Nob29sLTMzOA==
Emory and Henry College,339,U2Nob29sLTMzOQ==
Emory University,340,U2Nob29sLTM0MA==
Emporia State University,341,U2Nob29sLTM0MQ==
Endicott College,342,U2Nob29sLTM0Mg==
Erskine College,343,U2Nob29sLTM0Mw==
The New School for Social Research,344,U2Nob29sLTM0NA==
Evangel College,345,U2Nob29sLTM0NQ==
Evergreen State College,346,U2Nob29sLTM0Ng==
Gallaudet University,347,U2Nob29sLTM0Nw==
Gannon University,348,U2Nob29sLTM0OA==
Gardner-Webb University,349,U2Nob29sLTM0OQ==
Geneva College,350,U2Nob29sLTM1MA==
George Fox University,351,U2Nob29sLTM1MQ==
George Mason University,352,U2Nob29sLTM1Mg==
George Washington University,353,U2Nob29sLTM1Mw==
Georgetown College,354,U2Nob29sLTM1NA==
Georgetown University,355,U2Nob29sLTM1NQ==
Georgia Baptist College of Nursing,356,U2Nob29sLTM1Ng==
Georgia College,357,U2Nob29sLTM1Nw==
Georgia Southern University,358,U2Nob29sLTM1OA==
Georgia Southwestern State University,359,U2Nob29sLTM1OQ==
Georgia State University,360,U2Nob29sLTM2MA==
Georgia Institute of Technology,361,U2Nob29sLTM2MQ==
Georgian Court University,362,U2Nob29sLTM2Mg==
Gettysburg College,363,U2Nob29sLTM2Mw==
Glendale University College of Law,364,U2Nob29sLTM2NA==
Glenville State University,365,U2Nob29sLTM2NQ==
Kettering University,366,U2Nob29sLTM2Ng==
Goddard College,367,U2Nob29sLTM2Nw==
Golden Gate University,368,U2Nob29sLTM2OA==
Goldey-Beacom College,369,U2Nob29sLTM2OQ==
Gonzaga University,370,U2Nob29sLTM3MA==
Gordon College,371,U2Nob29sLTM3MQ==
Goshen College,372,U2Nob29sLTM3Mg==
Goucher College,373,U2Nob29sLTM3Mw==
Governors State University,374,U2Nob29sLTM3NA==
Grace College and Theological Seminary,375,U2Nob29sLTM3NQ==
Grace University,376,U2Nob29sLTM3Ng==
Graceland University,377,U2Nob29sLTM3Nw==
Grand Canyon University,378,U2Nob29sLTM3OA==
Grand Valley State University,379,U2Nob29sLTM3OQ==
Green Mountain College,380,U2Nob29sLTM4MA==
Greensboro College,381,U2Nob29sLTM4MQ==
Greenville University,382,U2Nob29sLTM4Mg==
Grinnell College,383,U2Nob29sLTM4Mw==
Grove City College,384,U2Nob29sLTM4NA==
Guilford College,385,U2Nob29sLTM4NQ==
Gustavus Adolphus College,386,U2Nob29sLTM4Ng==
Gutenberg College,387,U2Nob29sLTM4Nw==
Gwynedd-Mercy University,388,U2Nob29sLTM4OA==
Hamilton College,389,U2Nob29sLTM4OQ==
Hamline University,390,U2Nob29sLTM5MA==
Hampden-Sydney College,391,U2Nob29sLTM5MQ==
